ticker,market,industry
2669,スタンダード（内国株式）,小売業
6138,スタンダード（内国株式）,機械
7435,スタンダード（内国株式）,卸売業
3475,プライム（内国株式）,不動産業
4240,スタンダード（内国株式）,化学
2798,スタンダード（内国株式）,小売業
9902,プライム（内国株式）,卸売業
6736,スタンダード（内国株式）,電気機器
3580,プライム（内国株式）,繊維製品
2932,スタンダード（内国株式）,食料品
2488,スタンダード（内国株式）,サービス業
7246,プライム（内国株式）,輸送用機器
7857,スタンダード（内国株式）,その他製品
7129,スタンダード（内国株式）,小売業
9830,プライム（内国株式）,卸売業
8596,スタンダード（内国株式）,その他金融業
3920,スタンダード（内国株式）,情報・通信業
7643,スタンダード（内国株式）,小売業
8908,スタンダード（内国株式）,不動産業
6775,スタンダード（内国株式）,電気機器
8742,スタンダード（内国株式）,証券、商品先物取引業
4503,プライム（内国株式）,医薬品
7599,プライム（内国株式）,卸売業
8377,プライム（内国株式）,銀行業
6189,スタンダード（内国株式）,サービス業
7679,プライム（内国株式）,小売業
3769,プライム（内国株式）,情報・通信業
7628,プライム（内国株式）,卸売業
4902,プライム（内国株式）,電気機器
7224,プライム（内国株式）,輸送用機器
4434,スタンダード（内国株式）,情報・通信業
9466,スタンダード（内国株式）,情報・通信業
2480,スタンダード（内国株式）,情報・通信業
9514,スタンダード（内国株式）,電気・ガス業
7565,スタンダード（内国株式）,卸売業
6863,スタンダード（内国株式）,電気機器
2156,スタンダード（内国株式）,サービス業
8104,スタンダード（内国株式）,卸売業
9602,プライム（内国株式）,情報・通信業
5121,プライム（内国株式）,ゴム製品
4768,プライム（内国株式）,情報・通信業
3577,スタンダード（内国株式）,繊維製品
9404,プライム（内国株式）,情報・通信業
