code,disc_date,disc_time,disc_no,doc_type,per_type,fy_end,equity,np_forecast,shares_out
1418,2023-01-30,16:00:00,20230130595603,DividendForecastRevision,FY,2023-02-28,,,
1418,2023-03-28,16:00:00,20230327536988,EarnForecastRevision,FY,2023-02-28,,179000000,
1418,2023-04-13,16:00:00,20230412546061,FYFinancialStatements_Consolidated_JP,FY,2023-02-28,3280000000,200000000,20010529
1418,2023-07-13,16:00:00,20230712521040,1QFinancialStatements_Consolidated_JP,1Q,2024-02-29,3278000000,200000000,20010529
1418,2023-10-12,16:00:00,20231011565231,2QFinancialStatements_Consolidated_JP,2Q,2024-02-29,3344000000,200000000,20010529
1418,2023-10-31,15:00:00,20231030575229,EarnForecastRevision,FY,2024-02-29,,300000000,
1418,2024-01-12,16:00:00,20240111513723,3QFinancialStatements_Consolidated_JP,3Q,2024-02-29,3453000000,300000000,20010529
1418,2024-04-12,16:00:00,20240409567820,FYFinancialStatements_Consolidated_JP,FY,2024-02-29,3637000000,300000000,20010529
1418,2024-07-12,16:00:00,20240711547839,1QFinancialStatements_Consolidated_JP,1Q,2025-02-28,3823000000,300000000,20010529
1418,2024-08-27,16:00:00,20240827576958,EarnForecastRevision,FY,2025-02-28,,400000000,
1418,2024-10-15,16:00:00,20241015598010,2QFinancialStatements_Consolidated_JP,2Q,2025-02-28,3892000000,400000000,17010529
1418,2025-01-14,16:00:00,20250114550122,3QFinancialStatements_Consolidated_JP,3Q,2025-02-28,4077000000,400000000,17010529
1418,2025-03-25,16:00:00,20250325599729,EarnForecastRevision,FY,2025-02-28,,700000000,
1418,2025-04-14,16:00:00,20250414514951,FYFinancialStatements_Consolidated_JP,FY,2025-02-28,4214000000,600000000,17010529
1418,2025-07-15,16:00:00,20250714514187,1QFinancialStatements_Consolidated_JP,1Q,2026-02-28,4344000000,600000000,17010529
1418,2025-10-15,16:00:00,20251014572614,2QFinancialStatements_Consolidated_JP,2Q,2026-02-28,4631000000,750000000,17010529
1418,2026-01-14,16:00:00,20260114533365,3QFinancialStatements_Consolidated_JP,3Q,2026-02-28,4504000000,750000000,17010529
1418,2026-01-27,16:00:00,20260127539141,3QFinancialStatements_Consolidated_JP,3Q,2026-02-28,4504000000,750000000,17010529
1418,2026-04-14,16:00:00,20260413502988,FYFinancialStatements_Consolidated_JP,FY,2026-02-28,4676000000,800000000,17010529
1418,2026-07-15,16:00:00,20260714593097,1QFinancialStatements_Consolidated_JP,1Q,2027-02-28,4806000000,800000000,17010529
1438,2016-11-14,15:00,20161020416582,FYFinancialStatements_Consolidated_JP,FY,2016-09-30,1716000000,209000000,1015000
1438,2017-02-08,15:00,20170208493493,1QFinancialStatements_Consolidated_JP,1Q,2017-09-30,2192000000,209000000,1451800
1438,2017-05-15,14:00,20170511468027,2QFinancialStatements_Consolidated_JP,2Q,2017-09-30,2283000000,209000000,1451800
1438,2017-08-08,15:00,20170808451268,3QFinancialStatements_Consolidated_JP,3Q,2017-09-30,2281000000,209000000,1451800
1438,2017-11-14,14:00,20171113417324,FYFinancialStatements_Consolidated_JP,FY,2017-09-30,2324000000,167000000,1451800
1438,2018-02-13,10:00,20180213470042,1QFinancialStatements_Consolidated_JP,1Q,2018-09-30,2317000000,167000000,1451800
1438,2018-03-12,13:00,20180306484036,DividendForecastRevision,FY,2018-09-30,,,
1438,2018-05-15,14:00:00,20180515438316,2QFinancialStatements_Consolidated_JP,2Q,2018-09-30,2412000000,167000000,1451800
1438,2018-08-06,13:00:00,20180801489426,3QFinancialStatements_Consolidated_JP,3Q,2018-09-30,2383000000,167000000,1451800
1438,2018-11-14,15:00:00,20181113436372,FYFinancialStatements_Consolidated_JP,FY,2018-09-30,2406000000,179000000,1451800
1438,2019-02-12,15:00:00,20190207472866,1QFinancialStatements_Consolidated_JP,1Q,2019-09-30,2428000000,179000000,1451800
1438,2019-05-14,16:40:00,20190510420951,2QFinancialStatements_Consolidated_JP,2Q,2019-09-30,2556000000,209000000,1451800
1438,2019-08-09,13:00:00,20190802481801,3QFinancialStatements_Consolidated_JP,3Q,2019-09-30,2562000000,209000000,1451800
1438,2019-11-13,14:40:00,20191111423906,FYFinancialStatements_Consolidated_JP,FY,2019-09-30,2542000000,218000000,1451800
1438,2020-02-10,15:30:00,20200203456372,1QFinancialStatements_Consolidated_JP,1Q,2020-09-30,2548000000,218000000,1451800
1438,2020-05-15,14:20:00,20200515415514,2QFinancialStatements_Consolidated_JP,2Q,2020-09-30,2642000000,218000000,1451800
1438,2020-08-11,11:30:00,20200811479104,3QFinancialStatements_Consolidated_JP,3Q,2020-09-30,2835000000,218000000,1601800
1438,2020-11-13,16:00:00,20201113424106,FYFinancialStatements_Consolidated_JP,FY,2020-09-30,2889000000,180000000,1601800
1438,2021-02-12,15:30:00,20210212463322,1QFinancialStatements_Consolidated_JP,1Q,2021-09-30,2934000000,180000000,1601800
1438,2021-04-16,15:30:00,20210416495703,DividendForecastRevision,FY,2021-09-30,,,
1438,2021-05-14,15:20:00,20210513417805,EarnForecastRevision,FY,2021-09-30,,223000000,
1438,2021-05-14,15:20:00,20210514419266,2QFinancialStatements_Consolidated_JP,2Q,2021-09-30,3022000000,223000000,1601800
1438,2021-08-11,15:30:00,20210811483773,3QFinancialStatements_Consolidated_JP,3Q,2021-09-30,3047000000,223000000,3203600
1438,2021-11-12,15:20:00,20211112434150,FYFinancialStatements_Consolidated_JP,FY,2021-09-30,3061000000,271000000,3203600
1438,2022-02-14,13:00:00,20220214588900,1QFinancialStatements_Consolidated_JP,1Q,2022-09-30,3120000000,271000000,3203600
1438,2022-05-13,14:59:00,20220513546865,2QFinancialStatements_Consolidated_JP,2Q,2022-09-30,3243000000,271000000,3203600
1438,2022-08-10,15:30:00,20220810517267,3QFinancialStatements_Consolidated_JP,3Q,2022-09-30,3237000000,271000000,3203600
1438,2022-11-11,16:00:00,20221110563154,FYFinancialStatements_Consolidated_JP,FY,2022-09-30,3268000000,287000000,3203600
1438,2023-02-13,17:00:00,20230213509228,1QFinancialStatements_Consolidated_JP,1Q,2023-09-30,3339000000,287000000,3203600
1438,2023-03-17,15:30:00,20230118590692,DividendForecastRevision,FY,2023-09-30,,,
1438,2023-05-12,15:40:00,20230512569406,2QFinancialStatements_Consolidated_JP,2Q,2023-09-30,3416000000,287000000,3204600
1438,2023-08-10,15:30:00,20230810540314,3QFinancialStatements_Consolidated_JP,3Q,2023-09-30,3444000000,287000000,3204600
1438,2023-11-10,16:00:00,20231110585528,FYFinancialStatements_Consolidated_JP,FY,2023-09-30,3526000000,301000000,3204600
1438,2024-02-09,15:30:00,20240208530401,EarnForecastRevision,2Q,2024-09-30,,,
1438,2024-02-09,15:30:00,20240209531761,1QFinancialStatements_Consolidated_JP,1Q,2024-09-30,3614000000,301000000,3204600
1438,2024-05-10,16:00:00,20240510589232,EarnForecastRevision,2Q,2024-09-30,,335000000,
1438,2024-05-10,16:00:00,20240510589707,2QFinancialStatements_Consolidated_JP,2Q,2024-09-30,3777000000,335000000,3227600
1438,2024-08-09,15:30:00,20240731558593,3QFinancialStatements_Consolidated_JP,3Q,2024-09-30,3788000000,335000000,3229600
1438,2024-11-14,16:00:00,20241114523381,FYFinancialStatements_Consolidated_JP,FY,2024-09-30,3820000000,336000000,3242600
1438,2025-02-14,15:30:00,20250213573227,1QFinancialStatements_Consolidated_JP,1Q,2025-09-30,3895000000,336000000,3242600
1438,2025-05-15,15:20:00,20250320597341,2QFinancialStatements_Consolidated_JP,2Q,2025-09-30,4016000000,336000000,3242600
1438,2025-08-08,15:30:00,20250807535894,3QFinancialStatements_Consolidated_JP,3Q,2025-09-30,4073000000,336000000,3242600
1438,2025-11-14,15:20:00,20251114503324,FYFinancialStatements_Consolidated_JP,FY,2025-09-30,4144000000,385000000,3244600
1438,2026-02-13,15:30:00,20260212558015,EarnForecastRevision,2Q,2026-09-30,,,
1438,2026-02-13,15:30:00,20260213561603,1QFinancialStatements_Consolidated_JP,1Q,2026-09-30,4318000000,385000000,3244600
1438,2026-05-15,15:20:00,20260515536201,EarnForecastRevision,FY,2026-09-30,,469000000,
1438,2026-05-15,15:20:00,20260515538153,2QFinancialStatements_Consolidated_JP,2Q,2026-09-30,4499000000,469000000,3244600
1438,2026-08-07,15:30:00,20260806513556,3QFinancialStatements_Consolidated_JP,3Q,2026-09-30,4546000000,469000000,3250600
1808,2016-11-10,15:00,20161102429704,EarnForecastRevision,FY,2017-03-31,,55000000000,
1808,2016-11-10,15:00,20161102429739,2QFinancialStatements_Consolidated_JP,2Q,2017-03-31,200534000000,55000000000,300794397
1808,2017-02-10,15:00,20170208494149,3QFinancialStatements_Consolidated_JP,3Q,2017-03-31,217497000000,55000000000,300794397
1808,2017-03-02,15:00,20170223405619,DividendForecastRevision,FY,2017-03-31,,,
1808,2017-05-12,14:40,20170508461006,FYFinancialStatements_Consolidated_JP,FY,2017-03-31,238467000000,63000000000,300794397
1808,2017-08-09,15:00,20170808452245,1QFinancialStatements_Consolidated_JP,1Q,2018-03-31,243000000000,63000000000,300794397
