date,available_cash,pending_cash,locked_capital,open_positions,equity
2025-10-14,333.79186318,0.00000000,273861.90409191,1,274195.69595509
2025-10-15,333.79186318,277469.06181582,0.00000000,0,277802.85367900
2025-10-16,1552.97746082,0.00000000,276249.87621818,1,277802.85367900
2025-10-17,1552.97746082,267168.56951744,0.00000000,0,268721.54697826
2025-10-20,365.98135185,0.00000000,268355.56562641,1,268721.54697826
2025-10-21,365.98135185,273529.21580589,0.00000000,0,273895.19715774
2025-10-22,1928.62308195,0.00000000,271966.57407579,1,273895.19715774
2025-10-23,1928.62308195,268420.72427599,0.00000000,0,270349.34735794
2025-10-24,587.16185667,0.00000000,269762.18550127,1,270349.34735794
2025-10-27,587.16185667,274083.25828257,0.00000000,0,274670.42013924
2025-10-28,321.23435964,0.00000000,274349.18577960,1,274670.42013924
2025-10-29,321.23435964,275149.83970041,0.00000000,0,275471.07406005
2025-10-30,598.26301111,0.00000000,274872.81104894,1,275471.07406005
2025-10-31,598.26301111,278836.64958576,0.00000000,0,279434.91259687
2025-11-04,209.91606417,0.00000000,279224.99653270,1,279434.91259687
2025-11-05,209.91606417,270577.39839010,0.00000000,0,270787.31445427
2025-11-06,804.86822991,0.00000000,269982.44622436,1,270787.31445427
2025-11-07,804.86822991,271843.34269124,0.00000000,0,272648.21092115
2025-11-10,504.96328174,0.00000000,272143.24763941,1,272648.21092115
2025-11-11,504.96328174,270987.80889985,0.00000000,0,271492.77218159
2025-11-12,136.75282454,0.00000000,271356.01935705,1,271492.77218159
2025-11-13,136.75282454,268170.10519383,0.00000000,0,268306.85801837
2025-11-14,1783.73911885,0.00000000,266523.11889952,1,268306.85801837
2025-11-17,1783.73911885,266582.97766912,0.00000000,0,268366.71678797
2025-11-18,12449.96478797,242877.79348560,0.00000000,0,255327.75827357
2025-11-19,566.21094653,0.00000000,254761.54732704,1,255327.75827357
2025-11-20,566.21094653,256846.98186576,0.00000000,0,257413.19281229
2025-11-21,822.60028349,0.00000000,256590.59252880,1,257413.19281229
2025-11-25,822.60028349,255429.08375190,0.00000000,0,256251.68403539
2025-11-26,708.83823815,0.00000000,255542.84579724,1,256251.68403539
2025-11-27,708.83823815,254397.76494463,0.00000000,0,255106.60318278
2025-11-28,804.26264758,0.00000000,254302.34053520,1,255106.60318278
2025-12-01,804.26264758,255389.56381204,0.00000000,0,256193.82645962
2025-12-02,4958.47845962,0.00000000,251235.34800000,1,256193.82645962
2025-12-03,4958.47845962,254323.68000000,0.00000000,0,259282.15845962
2025-12-04,9.65593721,0.00000000,259272.50252241,1,259282.15845962
2025-12-05,9.65593721,264735.67920969,0.00000000,0,264745.33514690
2025-12-08,858.03587562,0.00000000,263887.29927128,1,264745.33514690
2025-12-09,858.03587562,265076.44050760,0.00000000,0,265934.47638322
2025-12-10,1417.56364622,0.00000000,264516.91273700,1,265934.47638322
2025-12-11,1417.56364622,263117.36434500,0.00000000,0,264534.92799122
2025-12-12,147.11772309,0.00000000,264387.81026813,1,264534.92799122
2025-12-15,147.11772309,264740.27985248,0.00000000,0,264887.39757557
2025-12-16,626.84261552,0.00000000,264260.55496005,1,264887.39757557
2025-12-17,626.84261552,258072.06045935,0.00000000,0,258698.90307487
2025-12-18,46.28650987,0.00000000,258652.61656500,1,258698.90307487
2025-12-19,46.28650987,258497.48851500,0.00000000,0,258543.77502487
2025-12-22,153.22217662,0.00000000,258390.55284825,1,258543.77502487
2025-12-23,153.22217662,256713.79356135,0.00000000,0,256867.01573797
2025-12-24,449.54217429,0.00000000,256417.47356368,1,256867.01573797
2025-12-25,449.54217429,253458.24244312,0.00000000,0,253907.78461741
2025-12-26,324.96095653,0.00000000,253582.82366088,1,253907.78461741
2025-12-29,324.96095653,254998.08186832,0.00000000,0,255323.04282485
2025-12-30,156.75763013,0.00000000,255166.28519472,1,255323.04282485
2026-01-05,156.75763013,257562.80647998,0.00000000,0,257719.56411011
2026-01-06,802.78198427,0.00000000,256916.78212584,1,257719.56411011
2026-01-07,802.78198427,256537.46097912,0.00000000,0,257340.24296339
2026-01-08,96.85109639,0.00000000,257243.39186700,1,257340.24296339
2026-01-09,96.85109639,258062.33390850,0.00000000,0,258159.18500489
2026-01-13,2485.68653629,0.00000000,255673.49846860,1,258159.18500489
2026-01-14,2485.68653629,268333.41746830,0.00000000,0,270819.10400459
2026-01-15,270819.10400459,0.00000000,0.00000000,0,270819.10400459
2026-01-16,1728.37019583,0.00000000,269090.73380876,1,270819.10400459
2026-01-19,1728.37019583,266492.72350428,0.00000000,0,268221.09370011
2026-01-20,529.98660095,0.00000000,267691.10709916,1,268221.09370011
2026-01-21,529.98660095,255527.97875816,0.00000000,0,256057.96535911
2026-01-22,146.17237303,0.00000000,255911.79298608,1,256057.96535911
2026-01-23,146.17237303,250015.20193368,0.00000000,0,250161.37430671
2026-01-26,118.11817591,0.00000000,250043.25613080,1,250161.37430671
2026-01-27,118.11817591,246244.01445042,0.00000000,0,246362.13262633
2026-01-28,436.86512633,0.00000000,245925.26750000,1,246362.13262633
2026-01-29,436.86512633,250618.22458800,0.00000000,0,251055.08971433
2026-01-30,2306.13916423,0.00000000,248748.95055010,1,251055.08971433
2026-02-02,2306.13916423,244939.93029597,0.00000000,0,247246.06946020
2026-02-03,1194.27773860,0.00000000,246051.79172160,1,247246.06946020
2026-02-04,1194.27773860,260129.28154752,0.00000000,0,261323.55928612
2026-02-05,460.35049756,247572.22830078,0.00000000,0,248032.57879834
2026-02-06,9511.04379834,0.00000000,238521.53500000,1,248032.57879834
2026-02-09,9511.04379834,266969.88500000,0.00000000,0,276480.92879834
2026-02-10,1998.60879834,0.00000000,274482.32000000,1,276480.92879834
2026-02-12,1998.60879834,280165.92500000,0.00000000,0,282164.53379834
